tx_id,customer_id,amount,timestamp,merchant_category,segment,age,income,is_fraud,amount_risk_bucket,is_night_tx
TX003996,C0014,2312.19,2024-06-22 16:36:50,Travel,Student,18,"23,653.00",0,High,0
TX002547,C0367,2303.27,2024-09-08 08:03:53,Travel,Student,40,"17,155.00",0,High,0
TX002143,C0471,2291,2024-12-27 10:26:28,Travel,Standard,34,"54,590.00",0,High,0
TX004351,C0442,2254.92,2024-01-01 00:48:32,Travel,Standard,37,"50,462.00",1,High,1
TX005050,C0327,2068.52,2024-04-19 06:15:04,Travel,Basic,51,"35,070.00",0,High,0
TX005505,C0036,2017.54,2024-07-26 01:03:23,Travel,Standard,23,"83,217.00",1,High,1
TX002809,C0137,1902.21,2024-11-01 02:42:02,Travel,Premium,28,"101,976.00",0,High,1
TX001265,C0051,1896.5,2024-05-05 08:30:53,Travel,Standard,41,"32,117.00",0,High,0
TX001873,C0174,1764.35,2024-04-20 05:02:44,Travel,Standard,42,"60,197.00",0,High,0
TX007205,C0120,1724.58,2024-04-05 09:31:05,Travel,Basic,47,"31,583.00",1,High,0
TX000702,C0307,1718.96,2024-11-27 13:41:03,Travel,Standard,53,"56,834.00",0,High,0
TX006197,C0417,1712.13,2024-11-09 18:43:46,Travel,Student,56,"20,560.00",1,High,0
TX004665,C0073,1639.88,2024-05-25 16:54:56,Travel,Standard,37,"54,397.00",0,High,0
TX000766,C0207,1593.04,2024-12-04 14:24:48,Travel,Standard,44,"86,325.00",1,High,0
TX000867,C0064,1532.33,2024-04-17 01:54:06,Travel,Standard,23,"61,715.00",0,High,1
TX003979,C0407,1526.83,2024-10-26 11:10:11,Travel,Standard,25,"52,375.00",0,High,0
TX006775,C0498,1516.02,2024-08-01 14:34:55,Travel,Basic,35,"31,092.00",0,High,0
TX007852,C0333,1480.4,2024-09-07 21:11:04,Travel,Basic,38,"37,711.00",0,High,0
TX003793,C0113,1473.37,2024-09-04 05:03:07,Travel,Premium,38,"121,486.00",0,High,0
TX001880,C0308,1443.72,2024-04-21 23:37:24,Travel,Standard,30,"63,149.00",0,High,0
TX002680,C0133,1441.76,2024-10-12 18:58:01,Travel,Standard,25,"64,202.00",0,High,0
TX006571,C0341,1440.34,2024-09-29 22:55:57,Travel,Student,28,"21,710.00",0,High,0
TX003240,C0406,1410.66,2024-09-16 13:10:53,Travel,Standard,45,"69,880.00",1,High,0
TX005598,C0368,1395.5,2024-11-05 06:55:56,Travel,Standard,38,"41,189.00",0,High,0
TX005091,C0141,1393.34,2024-07-10 02:58:51,Travel,Basic,40,"20,193.00",0,High,1
TX006460,C0309,1372.3,2024-05-26 05:47:52,Travel,Basic,44,"30,390.00",0,High,0
TX002864,C0207,1358.81,2024-01-23 06:10:35,Travel,Standard,44,"86,325.00",0,High,0
TX005432,C0287,1348.85,2024-01-09 15:36:58,Travel,Standard,36,"68,774.00",1,High,0
TX007168,C0273,1335.59,2024-05-16 06:09:13,Travel,Premium,51,"107,842.00",0,High,0
TX003741,C0355,1328.37,2024-01-24 21:31:59,Travel,Student,37,"16,323.00",0,High,0
TX004089,C0382,1326.09,2024-08-21 16:57:06,Travel,Standard,30,"60,899.00",0,High,0
TX007999,C0330,1289.51,2024-03-07 16:42:34,Travel,Standard,45,"53,052.00",0,High,0
TX005846,C0398,1288.61,2024-12-20 07:32:33,Travel,Standard,54,"67,577.00",1,High,0
TX003275,C0184,1283.39,2024-10-22 01:05:32,Travel,Basic,43,"36,801.00",0,High,1
TX000934,C0087,1271.66,2024-02-18 05:43:11,Electronics,Standard,48,"40,495.00",0,High,0
TX002827,C0385,1259.61,2024-10-30 02:03:41,Travel,Standard,28,"57,003.00",0,High,1
TX005585,C0227,1256.42,2024-10-16 11:34:14,Travel,Basic,38,"35,109.00",0,High,0
TX001623,C0217,1249.65,2024-09-07 00:31:11,Travel,Premium,28,"116,102.00",0,High,1
TX004596,C0110,1248.4,2024-07-07 22:15:28,Travel,Student,37,"16,573.00",0,High,0
TX005790,C0363,1246.29,2024-04-11 03:47:35,Travel,Basic,36,"24,359.00",1,High,1
TX006307,C0145,1244.31,2024-11-10 21:20:16,Travel,Basic,41,"43,471.00",0,High,0
TX005607,C0151,1242.25,2024-11-19 17:22:35,Travel,Standard,41,"64,784.00",0,High,0
TX005239,C0466,1226.53,2024-11-29 07:40:09,Travel,Basic,35,"34,634.00",0,High,0
TX001823,C0090,1223.6,2024-09-20 22:30:39,Electronics,Standard,44,"37,624.00",0,High,0
TX000504,C0066,1222.78,2024-07-25 00:04:25,Travel,Basic,54,"40,633.00",0,High,1
TX000294,C0228,1188.01,2024-04-05 14:43:41,Travel,Standard,25,"37,854.00",0,High,0
TX006031,C0278,1184.19,2024-03-09 18:31:51,Travel,Standard,30,"54,061.00",0,High,0
TX007208,C0057,1181.31,2024-03-30 18:19:54,Travel,Standard,27,"36,226.00",0,High,0
TX006592,C0409,1175.54,2024-09-14 16:14:04,Electronics,Standard,39,"63,047.00",0,High,0
TX002068,C0105,1171.67,2024-06-30 12:08:56,Travel,Standard,36,"75,990.00",0,High,0
TX000650,C0283,1164.07,2024-06-09 18:30:24,Travel,Standard,57,"40,171.00",0,High,0
TX007435,C0047,1162.47,2024-04-16 01:26:51,Travel,Premium,32,"109,506.00",1,High,1
TX004051,C0284,1155.94,2024-05-15 03:03:56,Travel,Basic,23,"21,171.00",0,High,1
TX004712,C0154,1150.7,2024-03-17 06:55:24,Electronics,Basic,40,"41,040.00",0,High,0
TX001237,C0077,1148.37,2024-01-25 22:11:15,Travel,Standard,39,"67,609.00",0,High,0
TX007967,C0161,1142.57,2024-05-19 17:13:41,Travel,Premium,26,"89,233.00",0,High,0
TX002889,C0206,1138.09,2024-10-06 21:32:14,Travel,Standard,26,"11,556.00",0,High,0
TX006336,C0267,1137.67,2024-05-28 03:23:08,Travel,Standard,57,"34,156.00",0,High,1
TX001806,C0059,1131.54,2024-02-06 16:46:24,Travel,Basic,41,"29,342.00",0,High,0
TX006731,C0380,1131.28,2024-09-29 15:58:36,Travel,Basic,28,"31,133.00",0,High,0
TX005926,C0211,1128.85,2024-04-13 21:32:13,Travel,Student,44,"17,451.00",0,High,0
TX002254,C0001,1110.73,2024-04-01 20:53:22,ATM Withdrawal,Basic,43,"28,663.00",0,High,0
TX001419,C0222,1109,2024-12-21 17:58:24,Travel,Standard,18,"54,135.00",0,High,0
TX002246,C0088,1104.9,2024-02-20 16:14:20,Travel,Student,41,"14,809.00",0,High,0
TX004994,C0265,1103.52,2024-12-25 23:47:56,Travel,Student,34,"8,000.00",0,High,0
TX002749,C0383,1098.4,2024-01-03 07:52:12,Travel,Standard,18,"57,880.00",0,High,0
TX004215,C0018,1091.86,2024-07-19 05:24:55,Travel,Student,41,"21,309.00",0,High,0
TX002315,C0433,1084.72,2024-05-11 05:28:42,Travel,Student,34,"10,161.00",0,High,0
TX006340,C0140,1083.26,2024-10-28 22:31:28,Electronics,Basic,23,"42,591.00",1,High,0
TX004982,C0055,1082.14,2024-04-10 03:54:23,Travel,Standard,50,"51,381.00",0,High,1
TX003615,C0238,1078.45,2024-06-24 08:02:25,Travel,Standard,40,"61,803.00",0,High,0
TX001717,C0054,1078.22,2024-12-23 15:54:24,Travel,Basic,45,"31,946.00",0,High,0
TX001534,C0054,1077.1,2024-02-14 18:18:13,Travel,Basic,45,"31,946.00",0,High,0
TX004925,C0033,1073.03,2024-06-02 03:32:08,Electronics,Standard,37,"78,482.00",0,High,1
TX005680,C0273,1071.76,2024-09-19 17:38:01,Travel,Premium,51,"107,842.00",1,High,0
TX001008,C0333,1071.08,2024-02-14 14:07:08,Electronics,Basic,38,"37,711.00",0,High,0
TX007163,C0302,1066.35,2024-05-28 11:05:39,Travel,Basic,31,"34,419.00",0,High,0
TX002878,C0321,1059.4,2024-11-29 03:03:02,Travel,Standard,39,"44,897.00",0,High,1
TX005779,C0106,1057.43,2024-02-11 10:45:54,Electronics,Basic,42,"37,397.00",1,High,0
TX006420,C0180,1055.76,2024-11-09 00:59:20,Travel,Standard,70,"47,593.00",0,High,1
TX003471,C0333,1052.72,2024-04-05 11:43:43,Travel,Basic,38,"37,711.00",0,High,0
TX000570,C0089,1045.52,2024-10-29 11:28:33,Travel,Standard,31,"54,945.00",0,High,0
TX000535,C0372,1039.67,2024-09-12 07:18:47,Travel,Basic,43,"22,768.00",1,High,0
TX000078,C0271,1036.42,2024-06-16 11:32:32,Electronics,Basic,55,"41,074.00",0,High,0
TX002090,C0109,1036.04,2024-04-03 22:10:56,Electronics,Basic,41,"35,585.00",0,High,0
TX004530,C0127,1035.27,2024-04-03 10:01:17,Travel,Standard,26,"54,634.00",1,High,0
TX004330,C0499,1033.7,2024-12-21 20:50:18,Travel,Standard,27,"49,520.00",1,High,0
TX007922,C0331,1032.43,2024-01-15 04:07:25,Electronics,Standard,37,"55,657.00",0,High,1
TX002324,C0013,1027.36,2024-01-17 04:02:20,Travel,Standard,40,"64,682.00",0,High,1
TX007008,C0146,1024.91,2024-01-30 21:51:25,Travel,Basic,47,"26,328.00",1,High,0
TX007890,C0011,1024.31,2024-10-26 03:43:45,Travel,Standard,32,"34,602.00",0,High,1
TX003377,C0056,1017.85,2024-05-18 19:01:22,Travel,Standard,49,"60,280.00",0,High,0
TX006719,C0479,1012.84,2024-01-31 09:37:31,Travel,Student,74,"20,884.00",1,High,0
TX002253,C0198,1011.43,2024-01-29 01:49:52,Travel,Standard,39,"55,779.00",1,High,1
TX007382,C0486,1010.18,2024-06-08 02:01:46,Travel,Basic,20,"26,096.00",0,High,1
TX007566,C0116,1005.07,2024-06-21 06:45:17,Travel,Standard,41,"57,963.00",1,High,0
TX002577,C0366,1003.11,2024-09-23 17:29:14,Electronics,Student,33,"15,304.00",0,High,0
TX005528,C0166,1001.74,2024-08-18 23:15:05,Travel,Standard,42,"12,271.00",0,High,0
TX006957,C0216,998.26,2024-09-21 15:51:52,Electronics,Standard,47,"58,261.00",1,High,0
TX006556,C0255,990.51,2024-07-23 05:44:56,Travel,Basic,19,"22,068.00",0,High,0
TX002995,C0390,987.23,2024-11-18 20:40:31,Travel,Premium,31,"50,063.00",1,High,0
TX006566,C0026,986.77,2024-02-12 15:32:11,Travel,Basic,39,"21,787.00",0,High,0
TX004886,C0489,986.57,2024-10-29 21:52:01,Electronics,Basic,58,"35,936.00",0,High,0
TX003486,C0439,983.23,2024-05-06 04:45:55,Travel,Standard,18,"57,230.00",0,High,1
TX004786,C0054,982.71,2024-03-16 11:11:37,Travel,Basic,45,"31,946.00",0,High,0
TX000406,C0400,977.35,2024-03-02 22:29:47,Travel,Standard,52,"53,516.00",0,High,0
TX005728,C0132,970.3,2024-07-22 20:20:44,Travel,Student,38,"15,480.00",1,High,0
TX005783,C0470,967.97,2024-12-16 01:44:55,Travel,Standard,31,"52,622.00",0,High,1
TX007187,C0439,953.21,2024-08-18 18:07:58,Travel,Standard,18,"57,230.00",0,High,0
TX004041,C0324,952.74,2024-04-02 13:49:21,Travel,Basic,63,"47,161.00",0,High,0
TX001383,C0352,952.52,2024-08-25 05:39:20,Travel,Standard,55,"43,450.00",0,High,0
TX004583,C0104,950.06,2024-09-21 22:36:03,Travel,Standard,28,"63,588.00",0,High,0
TX000178,C0261,946.13,2024-06-06 08:00:30,Travel,Basic,26,"24,494.00",0,High,0
TX000962,C0312,944.23,2024-08-01 08:44:47,Travel,Standard,51,"45,056.00",1,High,0
TX006945,C0081,941.91,2024-03-15 20:58:12,Electronics,Standard,35,"48,215.00",0,High,0
TX006190,C0398,936.6,2024-10-07 03:55:54,Electronics,Standard,54,"67,577.00",1,High,1
TX002535,C0145,933.31,2024-05-05 11:09:32,Travel,Basic,41,"43,471.00",0,High,0
TX007880,C0198,933.28,2024-04-09 05:30:01,Online Shopping,Standard,39,"55,779.00",0,High,0
TX004845,C0427,933.07,2024-01-25 03:21:15,Electronics,Student,26,"14,718.00",1,High,1
TX005029,C0067,931.3,2024-09-07 07:55:17,Travel,Basic,37,"31,572.00",1,High,0
TX003749,C0304,929.86,2024-12-22 07:43:17,Travel,Basic,45,"40,913.00",0,High,0
TX002839,C0295,924.94,2024-11-25 09:51:56,Electronics,Standard,42,"56,580.00",0,High,0
TX003900,C0205,924.83,2024-09-25 14:39:27,Travel,Standard,21,"69,970.00",1,High,0
TX001452,C0104,924.38,2024-03-13 19:21:20,Travel,Standard,28,"63,588.00",0,High,0
TX004017,C0122,918.37,2024-08-03 00:03:40,Travel,Basic,27,"26,128.00",1,High,1
TX003067,C0356,915.65,2024-05-05 11:36:45,Travel,Premium,25,"115,005.00",0,High,0
