CUSTOMERS,,,
customer_id,age,income,segment
C0001,43,28663,Basic
C0002,36,31173,Basic
C0003,45,73097,Standard
C0004,56,11732,Student
C0005,35,32949,Basic
C0006,35,49099,Standard
C0007,56,90862,Premium
C0008,47,74176,Standard
C0009,32,57866,Standard
C0010,44,55696,Standard
C0011,32,34602,Standard
C0012,32,66193,Standard
C0013,40,64682,Standard
C0014,18,23653,Student
C0015,18,80766,Premium
C0016,31,58287,Standard
C0017,25,58740,Standard
C0018,41,21309,Student
C0019,27,87141,Premium
C0020,21,59185,Standard
C0021,55,17431,Student
C0022,35,15746,Student
C0023,38,26428,Basic
C0024,20,57911,Standard
C0025,31,71104,Standard
C0026,39,21787,Basic
C0027,24,15531,Student
C0028,42,24399,Basic
C0029,30,39560,Basic
C0030,34,32152,Standard
C0031,30,25528,Basic
C0032,60,60658,Standard
C0033,37,78482,Standard
C0034,25,54013,Standard
C0035,47,46672,Standard
C0036,23,83217,Standard
C0037,40,46559,Premium
C0038,18,12409,Basic
C0039,22,61600,Standard
C0040,40,25983,Basic
C0041,46,39681,Standard
C0042,40,65625,Standard
C0043,36,58657,Standard
C0044,34,73077,Premium
C0045,20,35795,Standard
C0046,29,116173,Premium
C0047,32,109506,Premium
C0048,50,14603,Student
C0049,42,82699,Standard
C0050,18,21439,Basic
C0051,41,32117,Standard
C0052,33,24464,Basic
C0053,29,29635,Basic
C0054,45,31946,Basic
C0055,50,51381,Standard
C0056,49,60280,Standard
C0057,27,36226,Standard
C0058,34,20775,Student
C0059,41,29342,Basic
C0060,49,19469,Student
C0061,32,100281,Premium
C0062,35,33654,Basic
C0063,24,17279,Student
C0064,23,61715,Standard
C0065,47,109281,Premium
C0066,54,40633,Basic
C0067,37,31572,Basic
C0068,50,35672,Basic
C0069,42,87307,Premium
C0070,30,41520,Basic
C0071,42,44854,Standard
C0072,56,82014,Standard
C0073,37,54397,Standard
C0074,56,18553,Basic
C0075,18,31024,Basic
C0076,47,44784,Standard
C0077,39,67609,Standard
C0078,34,12389,Student
C0079,39,48307,Standard
C0080,18,14883,Basic
C0081,35,48215,Standard
C0082,42,18641,Standard
C0083,55,31241,Standard
C0084,31,66406,Standard
C0085,28,36286,Basic
C0086,31,61381,Standard
C0087,48,40495,Standard
C0088,41,14809,Student
C0089,31,54945,Standard
C0090,44,37624,Standard
C0091,39,21013,Student
C0092,49,37018,Basic
C0093,29,83371,Premium
C0094,34,15107,Student
C0095,33,31667,Basic
C0096,20,24373,Standard
C0097,41,82584,Premium
C0098,41,24544,Basic
C0099,38,21987,Basic
C0100,35,50783,Standard
C0101,21,22190,Student
C0102,32,35126,Basic
C0103,33,46432,Standard
C0104,28,63588,Standard
C0105,36,75990,Standard
C0106,42,37397,Basic
C0107,60,91788,Premium
C0108,40,24824,Basic
C0109,41,35585,Basic
C0110,37,16573,Student
C0111,18,68427,Standard
C0112,37,35081,Basic
C0113,38,121486,Premium
C0114,67,25718,Basic
C0115,35,129521,Premium
C0116,41,57963,Standard
C0117,37,46602,Basic
C0118,23,69324,Premium
C0119,51,81039,Standard
C0120,47,31583,Basic
C0121,47,24788,Basic
C0122,27,26128,Basic
C0123,54,27437,Basic
C0124,21,61362,Standard
C0125,45,62842,Standard
C0126,64,46394,Standard
C0127,26,54634,Standard
C0128,31,23569,Student
C0129,39,43820,Basic
C0130,31,61544,Standard
C0131,19,55570,Standard
C0132,38,15480,Student
C0133,25,64202,Standard
C0134,43,21817,Basic
C0135,26,51139,Standard
C0136,56,16651,Basic
C0137,28,101976,Premium
C0138,34,17588,Student
C0139,47,13067,Student
C0140,23,42591,Basic
C0141,40,20193,Basic
C0142,53,9142,Student
C0143,18,31795,Basic
C0144,40,70706,Standard
C0145,41,43471,Basic
C0146,47,26328,Basic
C0147,23,71180,Standard
C0148,22,29691,Basic
C0149,44,14309,Student
C0150,41,18534,Student
C0151,41,64784,Standard
C0152,42,42708,Premium
C0153,29,20906,Student
C0154,40,41040,Basic
C0155,41,71233,Premium
C0156,29,16583,Student
C0157,60,16976,Student
C0158,43,58910,Standard
C0159,23,25597,Basic
C0160,45,44925,Standard
C0161,26,89233,Premium
C0162,47,72590,Standard
C0163,51,34348,Basic
C0164,28,78881,Premium
C0165,49,66575,Standard
C0166,42,12271,Standard
C0167,47,72231,Standard
C0168,60,8041,Student
C0169,35,49563,Standard
C0170,28,38204,Standard
C0171,27,19642,Basic
C0172,28,72412,Standard
C0173,37,47984,Standard
C0174,42,60197,Standard
C0175,41,88592,Premium
C0176,47,62155,Standard
C0177,38,56152,Standard
C0178,55,35755,Standard
C0179,34,18985,Student
C0180,70,47593,Standard
C0181,45,17547,Basic
C0182,27,26575,Basic
C0183,25,135022,Premium
C0184,43,36801,Basic
C0185,35,49770,Standard
C0186,46,13602,Student
C0187,43,80350,Premium
C0188,37,86151,Standard
C0189,27,101458,Premium
C0190,19,16720,Student
C0191,32,70454,Standard
C0192,48,31910,Basic
C0193,40,82228,Premium
C0194,23,28429,Basic
C0195,40,53925,Standard
C0196,42,14851,Student
C0197,27,65914,Standard
C0198,39,55779,Standard
C0199,38,111979,Premium
C0200,24,53789,Standard
C0201,42,30629,Basic
C0202,44,30053,Premium
C0203,50,37330,Basic
C0204,50,60197,Standard
C0205,21,69970,Standard
C0206,26,11556,Standard
C0207,44,86325,Standard
C0208,44,28883,Basic
C0209,44,71622,Standard
C0210,75,39401,Standard
C0211,44,17451,Student
C0212,51,10786,Student
C0213,49,45643,Standard
C0214,45,83710,Standard
C0215,34,28474,Basic
C0216,47,58261,Standard
C0217,28,116102,Premium
C0218,35,62435,Standard
C0219,32,31203,Basic
C0220,38,32919,Basic
C0221,65,162102,Premium
C0222,18,54135,Standard
C0223,46,58016,Standard
C0224,18,38405,Basic
C0225,32,123165,Premium
C0226,51,125610,Premium
C0227,38,35109,Basic
C0228,25,37854,Standard
C0229,29,43067,Basic
C0230,46,37804,Standard
C0231,29,99079,Premium
C0232,40,43685,Standard
C0233,38,29486,Basic
C0234,30,16315,Student
C0235,63,32570,Basic
C0236,45,61328,Standard
C0237,18,42909,Basic
C0238,40,61803,Standard
C0239,30,51337,Standard
C0240,48,18856,Student
C0241,28,125684,Premium
C0242,36,53171,Premium
C0243,44,63961,Standard
C0244,48,111035,Premium
C0245,23,50536,Standard
C0246,33,41005,Basic
C0247,32,52749,Standard
C0248,30,15502,Student
C0249,59,28615,Basic
C0250,42,55233,Standard
C0251,22,38555,Standard
C0252,49,33399,Standard
C0253,63,42756,Basic
C0254,50,42295,Standard
C0255,19,22068,Basic
C0256,32,22699,Standard
C0257,53,24888,Basic
C0258,29,35153,Standard
C0259,43,79630,Standard
C0260,47,19039,Student
C0261,26,24494,Basic
C0262,37,157573,Premium
C0263,18,18927,Student
C0264,25,50127,Standard
C0265,34,8000,Student
C0266,23,48327,Basic
C0267,57,34156,Standard
C0268,20,40638,Premium
C0269,32,70338,Standard
C0270,39,91596,Standard
C0271,55,41074,Basic
C0272,20,63458,Standard
C0273,51,107842,Premium
C0274,38,36827,Basic
C0275,26,18035,Student
C0276,43,59217,Standard
C0277,40,56563,Standard
C0278,30,54061,Standard
C0279,38,67381,Premium
C0280,33,13877,Student
C0281,39,39211,Premium
C0282,45,29213,Basic
C0283,57,40171,Standard
C0284,23,21171,Basic
C0285,63,31439,Basic
C0286,18,41136,Basic
C0287,36,68774,Standard
C0288,45,42884,Premium
C0289,41,60311,Premium
C0290,30,18763,Student
C0291,35,11070,Student
C0292,32,28202,Basic
C0293,30,34400,Basic
C0294,48,22253,Basic
C0295,42,56580,Standard
C0296,29,9663,Student
C0297,48,45979,Standard
C0298,41,59796,Standard
C0299,47,31105,Standard
C0300,45,103214,Premium
C0301,28,54705,Standard
C0302,31,34419,Basic
C0303,46,96717,Premium
C0304,45,40913,Basic
C0305,37,56878,Standard
C0306,39,48558,Standard
C0307,53,56834,Standard
C0308,30,63149,Standard
C0309,44,30390,Basic
C0310,35,55608,Standard
C0311,35,24384,Basic
C0312,51,45056,Standard
C0313,47,18779,Basic
C0314,47,21998,Student
C0315,53,20049,Basic
C0316,38,44606,Standard
C0317,46,68447,Premium
C0318,34,68423,Standard
C0319,41,27640,Basic
C0320,36,127432,Premium
C0321,39,44897,Standard
C0322,45,32231,Basic
C0323,28,42469,Standard
C0324,63,47161,Basic
C0325,25,54372,Premium
C0326,23,99294,Premium
C0327,51,35070,Basic
C0328,47,61206,Standard
C0329,45,28517,Basic
C0330,45,53052,Standard
C0331,37,55657,Standard
C0332,27,28823,Basic
C0333,38,37711,Basic
C0334,29,47684,Basic
C0335,49,46637,Standard
C0336,36,19041,Basic
C0337,28,53675,Standard
C0338,34,167391,Premium
C0339,42,11785,Student
C0340,31,139173,Premium
C0341,28,21710,Student
C0342,40,46696,Standard
C0343,40,63534,Standard
C0344,31,79425,Standard
C0345,32,13483,Student
C0346,40,28371,Basic
C0347,20,25346,Basic
C0348,21,21881,Basic
C0349,29,24805,Basic
C0350,35,20208,Basic
C0351,41,55511,Standard
C0352,55,43450,Standard
C0353,48,58506,Standard
C0354,36,8776,Student
C0355,37,16323,Student
C0356,25,115005,Premium
C0357,37,14050,Basic
C0358,34,16496,Student
C0359,41,73415,Standard
C0360,28,20322,Basic
C0361,44,21690,Student
C0362,56,102570,Premium
C0363,36,24359,Basic
C0364,42,54163,Standard
C0365,46,17233,Student
C0366,33,15304,Student
C0367,40,17155,Student
C0368,38,41189,Standard
C0369,39,15677,Student
C0370,28,18690,Basic
C0371,38,53331,Standard
C0372,43,22768,Basic
C0373,55,67934,Premium
C0374,49,39888,Basic
C0375,63,71369,Standard
C0376,28,108274,Premium
C0377,48,57230,Premium
C0378,40,27468,Basic
C0379,64,73196,Standard
C0380,28,31133,Basic
C0381,27,159579,Premium
C0382,30,60899,Standard
C0383,18,57880,Standard
C0384,31,27527,Basic
C0385,28,57003,Standard
C0386,39,28780,Basic
C0387,42,17832,Student
C0388,60,37653,Basic
C0389,49,43210,Standard
C0390,31,50063,Premium
C0391,27,8000,Student
C0392,43,105239,Premium
C0393,22,10586,Student
C0394,59,22706,Standard
C0395,52,16554,Student
C0396,32,49943,Basic
C0397,18,14975,Student
C0398,54,67577,Standard
C0399,36,30654,Basic
C0400,52,53516,Standard
C0401,18,68786,Standard
C0402,30,27677,Basic
C0403,38,16069,Student
C0404,38,16286,Student
C0405,32,24655,Basic
C0406,45,69880,Standard
C0407,25,52375,Standard
C0408,36,23954,Basic
C0409,39,63047,Standard
C0410,44,63045,Premium
C0411,46,55422,Standard
C0412,24,54863,Standard
C0413,19,71288,Standard
C0414,53,62120,Standard
C0415,41,89249,Premium
C0416,29,114532,Premium
C0417,56,20560,Student
C0418,39,63367,Standard
C0419,52,55155,Standard
C0420,38,19505,Basic
C0421,62,39023,Standard
C0422,59,13779,Student
C0423,35,25123,Basic
C0424,49,84390,Premium
C0425,45,55849,Standard
C0426,54,17118,Student
C0427,26,14718,Student
C0428,46,62297,Standard
C0429,50,30515,Basic
C0430,18,25368,Standard
C0431,23,11242,Student
C0432,18,52838,Standard
C0433,34,10161,Student
C0434,46,34799,Basic
C0435,56,42246,Basic
C0436,38,73281,Standard
C0437,57,51798,Standard
C0438,21,77360,Standard
C0439,18,57230,Standard
C0440,37,49943,Standard
C0441,42,25092,Basic
C0442,37,50462,Standard
C0443,18,78354,Premium
C0444,36,15681,Student
C0445,22,15642,Student
C0446,46,15012,Student
C0447,42,16747,Student
C0448,26,72859,Standard
C0449,31,69243,Standard
C0450,25,18120,Basic
C0451,37,9568,Basic
C0452,49,69014,Standard
C0453,26,19064,Basic
C0454,44,51628,Standard
C0455,31,37448,Standard
C0456,28,27970,Standard
C0457,36,34331,Basic
C0458,25,36073,Basic
C0459,31,72704,Premium
C0460,23,8000,Student
C0461,61,46806,Standard
C0462,38,101754,Premium
C0463,29,9084,Student
C0464,40,15733,Student
C0465,36,14938,Student
C0466,35,34634,Basic
C0467,45,30956,Basic
C0468,47,22215,Basic
C0469,31,125897,Premium
C0470,31,52622,Standard
C0471,34,54590,Standard
C0472,18,41000,Standard
C0473,19,26453,Basic
C0474,54,41727,Standard
C0475,57,84811,Premium
C0476,35,80675,Standard
C0477,44,19024,Basic
C0478,41,41593,Premium
C0479,74,20884,Student
C0480,51,51860,Standard
C0481,36,44963,Standard
C0482,26,38319,Basic
C0483,18,25155,Basic
C0484,40,82390,Standard
C0485,28,35423,Basic
C0486,20,26096,Basic
C0487,30,87359,Standard
C0488,25,12577,Student
C0489,58,35936,Basic
C0490,48,32394,Basic
C0491,37,20206,Student
C0492,55,21246,Student
C0493,38,30256,Basic
C0494,27,23972,Basic
C0495,56,33679,Basic
C0496,44,24578,Basic
C0497,25,46107,Basic
C0498,35,31092,Basic
C0499,27,49520,Standard
C0500,21,15738,Student
